creation_date,id,link_id,mobile_browser_cookie_id,mobile_click_date,os,ip,,identity_id
2015-02-20T12:30:00.932Z,9.7296E+16,8.41141E+16,9.7296E+16,"""2015-02-20T12:30:00.941Z""",iOS,98.218.210.58,,9.7296E+16
2015-02-20T12:22:51.012Z,9.72942E+16,8.41141E+16,9.72942E+16,"""2015-02-20T12:22:51.021Z""",iOS,98.169.31.64,,9.72942E+16
2015-02-20T12:10:44.679Z,9.72912E+16,8.41141E+16,9.72912E+16,"""2015-02-20T12:10:44.689Z""",iOS,72.83.31.240,,9.72912E+16
2015-02-20T12:06:43.094Z,9.72901E+16,8.41141E+16,9.72901E+16,"""2015-02-20T12:06:43.102Z""",iOS,70.192.213.237,,9.72901E+16
2015-02-20T11:43:23.808Z,9.72843E+16,8.41141E+16,9.72843E+16,"""2015-02-20T11:43:23.818Z""",iOS,70.192.211.187,,9.72843E+16
2015-02-20T11:38:26.457Z,9.7283E+16,8.41143E+16,9.7283E+16,"""2015-02-20T11:38:26.464Z""",iOS,73.178.108.220,,9.7283E+16
2015-02-20T11:34:07.170Z,9.72819E+16,8.41141E+16,9.72819E+16,"""2015-02-20T11:34:07.179Z""",iOS,210.92.213.137,,9.72819E+16
2015-02-20T11:28:55.532Z,9.72806E+16,8.41173E+16,9.72806E+16,"""2015-02-20T11:28:55.539Z""",iOS,99.57.113.175,,9.72806E+16
2015-02-20T09:28:18.900Z,9.72503E+16,8.65069E+16,9.72503E+16,"""2015-02-20T09:28:18.910Z""",iOS,98.125.78.223,,9.72503E+16
2015-02-20T06:04:44.180Z,9.7199E+16,8.41141E+16,9.7199E+16,"""2015-02-20T06:04:44.186Z""",iOS,68.100.205.43,,9.7199E+16
2015-02-20T05:59:35.228Z,9.71977E+16,8.41141E+16,9.71977E+16,"""2015-02-20T05:59:35.236Z""",iOS,98.169.12.165,,9.71977E+16
2015-02-20T05:29:24.670Z,9.71902E+16,8.41141E+16,9.71902E+16,"""2015-02-20T05:29:24.688Z""",iOS,72.83.151.203,,9.71902E+16
2015-02-20T05:12:45.931Z,9.7186E+16,8.41141E+16,9.7186E+16,"""2015-02-20T05:12:45.942Z""",iOS,173.66.17.206,,9.7186E+16
2015-02-20T04:57:53.056Z,9.71822E+16,8.41141E+16,9.71822E+16,"""2015-02-20T04:57:53.066Z""",iOS,69.140.210.149,,9.71822E+16
2015-02-20T04:20:45.622Z,9.71729E+16,8.41141E+16,9.71729E+16,"""2015-02-20T04:20:45.631Z""",iOS,73.39.6.95,,9.71729E+16
2015-02-20T04:05:31.066Z,9.7169E+16,8.41141E+16,9.7169E+16,"""2015-02-20T04:05:31.075Z""",iOS,108.51.194.129,,9.7169E+16
2015-02-20T04:03:42.135Z,9.71686E+16,8.41141E+16,9.71686E+16,"""2015-02-20T04:03:42.143Z""",iOS,70.192.130.109,,9.71686E+16
2015-02-20T03:50:14.991Z,9.71652E+16,8.41141E+16,9.71652E+16,"""2015-02-20T03:50:15.003Z""",iOS,73.39.188.51,,9.71652E+16
2015-02-20T03:49:00.730Z,9.71649E+16,8.41143E+16,9.71649E+16,"""2015-02-20T03:49:00.739Z""",iOS,74.103.64.250,,9.71649E+16
2015-02-20T03:47:36.574Z,9.71645E+16,8.41143E+16,9.71645E+16,"""2015-02-20T03:47:36.589Z""",iOS,108.50.45.236,,9.71645E+16
2015-02-20T03:39:59.740Z,9.71626E+16,8.41141E+16,9.71626E+16,"""2015-02-20T03:39:59.751Z""",iOS,69.143.190.178,,9.71626E+16
2015-02-20T03:31:57.979Z,9.71606E+16,8.41143E+16,9.71606E+16,"""2015-02-20T03:31:57.987Z""",iOS,50.147.23.167,,9.71606E+16
2015-02-20T03:28:05.000Z,9.71596E+16,8.41141E+16,9.71596E+16,"""2015-02-20T03:28:05.011Z""",iOS,73.200.14.155,,9.71596E+16
2015-02-20T03:24:59.744Z,9.71588E+16,8.41143E+16,9.71588E+16,"""2015-02-20T03:24:59.755Z""",iOS,24.127.44.128,,9.71588E+16
2015-02-20T03:18:22.308Z,9.71572E+16,8.41141E+16,9.71572E+16,"""2015-02-20T03:18:53.861Z""",iOS,108.56.215.153,,9.71572E+16
2015-02-20T03:00:33.401Z,9.71527E+16,8.41141E+16,9.71527E+16,"""2015-02-20T03:00:33.412Z""",iOS,100.36.177.165,,9.71527E+16
2015-02-20T02:49:58.876Z,9.715E+16,8.41141E+16,9.715E+16,"""2015-02-20T02:49:58.963Z""",iOS,72.209.255.141,,9.715E+16
